species	Passo Fundo	Irati	Sao Francisco de Paula	Urugua-i	Gateados	Tres Barras	Pizzatto
Ciccaba huhula	0	1	0	1	0	1	1
Ciccaba virgata	1	1	1	1	1	1	1
Cichlocolaptes holti	0	1	0	0	0	1	0
Ciconia maguari	1	0	1	1	0	0	0
Cinclodes pabsti	0	0	1	0	0	0	0
Circus buffoni	1	1	1	1	1	1	1
Cissopis leverianus	0	1	0	1	1	1	1
Cistothorus platensis	1	1	1	0	1	1	1
Claravis pretiosa	0	1	0	1	0	0	1
Clibanornis dendrocolaptoides	1	1	0	1	1	1	1
Clytolaema rubricauda	0	0	1	0	0	0	0
Cnemotriccus fuscatus	0	1	1	1	0	1	1
Coccycua cinerea	1	0	1	1	0	0	1
Coccyzus americanus	1	1	1	1	1	1	1
Coccyzus erythropthalmus	0	0	0	0	0	0	0
Coccyzus euleri	0	1	0	1	0	1	1
Coccyzus melacoryphus	1	1	1	1	1	1	1
Cochlearius cochlearius	0	1	0	1	0	0	0
Coereba flaveola	1	1	1	1	1	1	1
Colaptes campestris	0	1	0	0	1	1	1
Colaptes campestroides	1	0	1	1	0	0	0
Colaptes melanochloros	1	1	1	1	1	1	1
Colibri serrirostris	0	0	0	0	0	0	0
Colonia colonus	1	1	0	1	1	1	1
Columbina minuta	0	0	0	1	0	0	0
Columbina picui	1	0	1	1	0	0	0
Columbina squammata	0	1	0	1	0	0	1
Columbina talpacoti	1	1	1	1	1	1	1
Conirostrum bicolor	0	0	0	0	0	0	0
Conirostrum speciosum	0	1	0	1	0	1	1
Conopias trivirgatus	0	1	0	1	0	1	1
Conopophaga lineata	1	1	1	1	1	1	1
Conopophaga melanops	0	0	0	0	0	0	0
Contopus cinereus	0	1	0	1	0	1	1
Contopus cooperi	0	0	0	0	0	0	0
Coragyps atratus	1	1	1	1	1	1	1
Coryphaspiza melanotis	0	0	0	0	0	0	0
Coryphospingus cucullatus	1	1	1	1	1	1	1
Corythopis delalandi	0	1	0	1	0	0	1
Coscoroba coscoroba	1	1	1	1	1	1	1
Coturnicops notatus	1	0	1	0	1	1	1
Cranioleuca obsoleta	1	1	1	1	1	1	1
Cranioleuca pallida	0	0	0	0	0	0	0
Cranioleuca vulpina	0	0	0	0	0	0	0
Crax fasciolata	0	0	0	1	0	0	0
Crotophaga ani	1	1	1	1	1	1	1
Crotophaga major	0	0	0	1	0	0	0
Crypturellus noctivagus	1	0	1	0	1	0	0
Crypturellus obsoletus	1	1	1	1	1	1	1
Crypturellus parvirostris	0	0	0	1	0	0	0
Crypturellus tataupa	1	1	1	1	1	1	1
Crypturellus undulatus	0	0	0	0	0	0	0
Culicivora caudacuta	0	1	1	1	1	0	0
Cyanocorax chrysops	1	1	0	1	1	1	1
Cyanocorax coeruleus	1	1	1	1	1	1	1
Cyanocorax cyanomelas	0	0	0	1	0	0	0
Cyanoloxia brissonii	1	1	1	1	1	1	1
Cyanoloxia glaucocaerulea	1	1	1	1	1	1	1
Cyclarhis gujanensis	1	1	1	1	1	1	1
Cygnus melancoryphus	1	1	1	1	1	1	1
Cypseloides fumigatus	0	1	1	1	1	1	1
Cypseloides senex	0	1	0	1	0	1	1
Dacnis cayana	0	1	1	1	1	0	0
Dacnis nigripes	0	0	0	0	0	0	0
Dendrocincla turdina	1	1	1	1	1	1	1
Dendrocolaptes platyrostris	1	1	1	1	1	1	1
Dendrocygna bicolor	0	0	1	0	0	0	0
Dendrocygna viduata	1	1	1	1	1	1	1
Diopsittaca cumanensis	0	0	0	0	0	0	0
Donacobius atricapilla	0	0	0	1	0	0	0
Donacospiza albifrons	1	1	1	1	1	1	1
Dromococcyx pavoninus	0	1	0	1	0	1	1
Dromococcyx phasianellus	1	1	1	1	1	1	1
Drymophila ferruginea	0	0	0	0	0	0	0
Drymophila malura	1	1	1	1	1	1	1
Drymophila ochropyga	0	1	0	0	0	1	0
Drymophila rubricollis	0	1	0	1	0	1	1
Drymophila squamata	0	0	0	0	0	0	0
Dysithamnus mentalis	1	1	1	1	1	1	1
Dysithamnus stictothorax	0	1	0	1	0	1	1
Dysithamnus xanthopterus	0	0	0	0	0	0	0
Egretta caerulea	0	0	0	0	0	0	0
Egretta thula	1	1	1	1	1	1	1
Elaenia albiceps	1	1	1	1	1	1	1
Elaenia chiriquensis	0	0	0	1	0	0	0
Elaenia flavogaster	1	1	1	1	1	1	1
Elaenia mesoleuca	1	1	1	1	1	1	1
Elaenia parvirostris	1	1	1	1	1	1	1
Elaenia sordida	1	1	1	1	1	1	1
Elanoides forficatus	1	1	1	1	1	1	1
Elanus leucurus	1	1	1	1	1	1	1
Eleoscytalopus indigoticus	0	1	1	0	0	1	0
Eleothreptus anomalus	1	1	1	1	1	1	1
Emberizoides herbicola	1	1	1	1	1	1	1
Emberizoides ypiranganus	0	0	1	0	1	0	0
Embernagra platensis	1	1	1	0	1	1	1
Empidonomus varius	1	1	1	1	1	1	1
Eudocimus ruber	0	0	0	0	0	0	0
Eupetomena cirrochloris	0	0	1	0	0	0	0
Eupetomena macroura	0	1	0	0	0	1	1
Euphonia chalybea	1	1	1	1	1	1	1
Euphonia chlorotica	1	1	1	1	1	1	1
Euphonia cyanocephala	1	1	1	1	1	1	1
Euphonia pectoralis	1	1	1	1	1	1	1
Euphonia violacea	0	1	1	1	0	1	1
Eupsittula aurea	0	0	0	0	0	0	0
Euscarthmus meloryphus	1	1	1	1	1	1	1
Falco deiroleucus	0	1	1	1	1	1	1
Falco femoralis	1	1	1	1	1	1	1
Falco peregrinus	1	1	1	1	1	1	1
Falco rufigularis	0	1	0	1	0	0	0
Falco sparverius	1	1	1	1	1	1	1
Florisuga fusca	0	0	1	1	0	0	0
Fluvicola nengeta	0	1	0	1	1	1	1
Formicarius colma	0	0	1	0	0	0	0
Formicivora melanogaster	0	0	0	0	0	0	0
Forpus xanthopterygius	0	1	0	1	0	1	1
Fulica armillata	0	0	1	0	0	0	0
Fulica leucoptera	0	0	1	0	0	0	0
Fulica rufifrons	0	0	1	0	0	0	0
Furnarius rufus	1	1	1	1	1	1	1
Gallinago paraguaiae	1	1	1	1	1	1	1
Gallinago undulata	1	1	1	0	1	1	1
Gallinula galeata	1	1	1	1	1	1	1
Gampsonyx swainsonii	0	0	0	1	0	0	0
Gelochelidon nilotica	0	0	1	0	0	0	0
Geositta cunicularia	0	0	1	0	0	0	0
Geositta poeciloptera	0	0	0	0	0	0	0
Geothlypis aequinoctialis	1	1	1	1	1	1	1
Geotrygon montana	0	1	0	1	0	1	1
Geotrygon violacea	0	1	0	1	0	1	1
Geranoaetus albicaudatus	1	1	1	1	1	1	1
Geranoaetus melanoleucus	1	1	1	1	1	1	1
Geranospiza caerulescens	1	1	1	1	1	1	1
Glaucidium brasilianum	1	1	1	1	1	1	1
Glaucidium minutissimum	0	1	0	0	0	0	0
Gnorimopsar chopi	1	1	1	1	1	1	1
Grallaria varia	1	1	1	1	1	1	1
Griseotyrannus aurantioatrocristatus	1	0	0	1	0	0	0
Gubernetes yetapa	0	0	0	1	0	0	0
Guira guira	1	1	1	1	1	1	1
Habia rubica	0	1	1	1	0	1	1
Haematopus palliatus	0	0	0	0	0	0	0
Haplospiza unicolor	1	1	1	1	1	1	1
Harpagus diodon	1	1	1	1	1	1	1
Harpia harpyja	0	1	1	1	0	1	1
Heliobletus contaminatus	1	1	1	1	1	1	1
Heliomaster furcifer	1	0	0	1	1	0	1
Heliornis fulica	0	1	0	1	0	1	1
Heliothryx auritus	0	0	0	0	0	0	0
Hemithraupis guira	1	1	1	1	1	1	1
Hemithraupis ruficapilla	0	0	0	0	0	1	0
Hemitriccus diops	0	1	0	1	0	1	1
Hemitriccus kaempferi	0	0	0	0	0	0	0
Hemitriccus margaritaceiventer	0	0	0	1	0	0	0
Hemitriccus nidipendulus	0	0	0	0	0	0	0
Hemitriccus obsoletus	1	1	0	1	1	1	1
Hemitriccus orbitatus	0	1	0	0	0	0	0
Herpetotheres cachinnans	0	0	0	1	0	0	0
Herpsilochmus longirostris	0	0	0	0	0	0	0
Herpsilochmus rufimarginatus	0	1	0	1	0	0	0
Himantopus himantopus	1	1	1	1	1	1	1
Hirundinea bellicosa	1	1	1	1	1	1	1
Hirundo rustica	1	1	1	1	1	1	1
Hoploxypterus cayanus	0	1	0	1	0	0	0
Hydropsalis maculicaudus	0	0	0	0	0	0	0
Hydropsalis torquata	1	1	1	1	1	1	1
Hylatomus lineatus	1	1	1	1	1	1	1
Hylocharis chrysura	0	0	1	1	0	0	0
Hylocharis sapphirina	0	0	0	1	0	0	0
Hylopezus nattereri	1	1	1	1	1	1	1
Hylophilus amaurocephalus	0	0	0	0	0	0	0
Hylophilus poicilotis	1	1	0	1	1	1	1
Hymenops perspicillatus	0	0	1	0	0	0	0
Hypoedaleus guttatus	0	0	0	1	0	0	0
Icterus pyrrhopterus	1	1	1	1	1	1	1
Ictinia plumbea	1	1	0	1	1	1	1
Ilicura militaris	0	1	0	0	0	1	0
Iodopleura pipra	0	0	0	0	0	0	0
Islerothraupis cristata	0	0	0	0	0	0	0
Ixobrychus exilis	0	0	0	1	0	1	1
Ixobrychus involucris	0	0	1	1	0	0	0
Jacana jacana	1	1	1	1	1	1	1
Knipolegus cyanirostris	1	1	1	1	1	1	1
Knipolegus lophotes	0	0	1	0	1	1	0
Knipolegus nigerrimus	0	0	0	0	0	0	0
Laniisoma elegans	0	0	0	0	0	0	0
Larus cirrocephalus	1	1	1	1	1	1	1
Larus dominicanus	0	0	1	0	0	0	0
Larus maculipennis	0	0	1	0	0	0	0
Laterallus exilis	0	0	0	0	0	0	0
Laterallus flaviventer	0	0	1	0	0	0	0
Laterallus leucopyrrhus	1	0	1	1	0	0	0
Laterallus melanophaius	1	1	1	1	1	1	1
Lathrotriccus euleri	1	1	1	1	1	1	1
Legatus leucophaius	0	1	1	1	1	1	1
Leistes superciliaris	1	1	1	1	1	1	1
Lepidocolaptes angustirostris	0	1	0	1	0	0	0
Lepidocolaptes falcinellus	1	1	1	1	1	1	1
Lepidocolaptes squamatus	0	0	0	0	0	0	0
Leptasthenura setaria	1	1	0	1	1	1	1
Leptasthenura striolata	1	1	1	0	1	1	1
Leptodon cayanensis	0	1	0	1	0	1	1
Leptopogon amaurocephalus	1	1	1	1	1	1	1
Leptotila rufaxilla	1	1	1	1	1	1	1
Leptotila verreauxi	1	1	1	1	1	1	1
Leucochloris albicollis	1	1	1	1	1	1	1
Limnoctites rectirostris	0	0	1	0	0	0	0
Limosa haemastica	0	0	1	0	0	0	0
Lipaugus lanioides	0	0	0	0	0	0	0
Lochmias nematura	1	1	1	1	1	1	1
Lophornis chalybeus	0	0	0	0	0	0	0
Lophornis magnificus	1	1	1	0	1	1	1
Lurocalis semitorquatus	1	1	1	1	1	1	1
Machetornis rixosa	1	1	1	1	1	1	1
Mackenziaena leachii	1	1	1	1	1	1	1
Mackenziaena severa	0	1	0	1	1	1	1
Macronectes giganteus	1	0	1	0	1	1	0
Macropsalis forcipata	1	1	1	1	1	1	1
Malacoptila striata	0	0	0	0	0	0	0
Manacus manacus	0	0	0	1	0	0	0
Mareca sibilatrix	1	0	1	1	1	0	0
Megaceryle torquata	1	1	1	1	1	1	1
Megarynchus pitangua	1	1	1	1	1	1	1
Megascops atricapilla	0	1	0	1	0	1	1
Megascops choliba	1	1	1	1	1	1	1
Megascops sanctaecatarinae	1	0	1	1	1	1	1
Melanerpes candidus	1	1	0	1	0	1	1
Melanerpes flavifrons	1	1	1	1	1	1	1
Mergus octosetaceus	0	0	0	0	0	0	0
Merulaxis ater	0	0	0	0	0	0	0
Mesembrinibis cayennensis	0	1	0	1	1	1	1
Micrastur ruficollis	1	1	1	1	1	1	1
Micrastur semitorquatus	1	1	1	1	1	1	1
Microspingus cabanisi	1	1	1	1	1	1	1
Milvago chimachima	1	1	1	1	1	1	1
Mimus saturninus	1	1	1	1	1	1	1
Mimus triurus	0	0	0	0	0	0	0
Mionectes rufiventris	1	1	1	1	1	1	1
Molothrus bonariensis	1	1	1	1	1	1	1
Molothrus oryzivorus	0	1	0	1	0	1	1
Molothrus rufoaxillaris	1	1	1	1	1	1	1
Morphnus guianensis	0	1	0	1	0	1	1
Muscipipra vetula	1	1	1	1	1	1	1
Mycteria americana	1	1	1	1	1	1	1
Myiarchus ferox	0	1	0	1	0	1	0
Myiarchus swainsoni	1	1	1	1	1	1	1
Myiarchus tyrannulus	0	0	0	1	0	0	0
Myiobius atricaudus	0	0	0	0	0	0	0
Myiobius barbatus	0	0	0	0	0	0	0
Myiodynastes solitarius	1	1	1	1	1	1	1
Myiopagis caniceps	0	1	0	1	0	1	1
Myiopagis viridicata	1	1	0	1	0	0	1
Myiophobus fasciatus	1	1	1	1	1	1	1
Myiopsitta monachus	0	0	0	0	0	0	0
Myiornis auricularis	1	1	1	1	1	1	1
Myiothlypis leucoblephara	1	1	1	1	1	1	1
Myiothlypis mesoleuca	0	1	0	1	0	1	1
Myiothlypis rivularis	0	1	0	1	0	1	1
Myiozetetes similis	0	1	0	1	0	1	1
Myrmoderus squamosus	0	1	1	0	0	1	0
Myrmotherula unicolor	0	0	0	0	0	0	0
Nannopterum brasilianus	1	1	1	1	1	1	1
Neopelma chrysolophum	0	0	0	0	0	0	0
Neothraupis fasciata	0	0	0	0	0	0	0
Netta peposaca	1	1	1	1	1	1	1
Nomonyx dominicus	1	1	1	1	1	1	1
Nonnula rubecula	0	1	0	1	0	0	1
Notharchus swainsoni	0	1	0	1	0	1	1
Nothura maculosa	1	1	1	1	1	1	1
Nyctanassa violacea	0	0	1	0	0	0	0
Nyctibius aethereus	0	1	0	1	0	0	0
Nyctibius griseus	1	1	1	1	1	1	1
Nycticorax nycticorax	1	1	1	1	1	1	1
Nycticryphes semicollaris	0	0	1	1	0	0	0
Nyctidromus albicollis	1	1	1	1	1	1	1
Nyctiphrynus ocellatus	0	0	0	1	0	0	0
Nystalus chacuru	1	1	0	1	1	1	1
Odontophorus capueira	1	1	1	1	1	1	1
Onychorhynchus swainsoni	0	0	0	0	0	0	0
Orchesticus abeillei	0	0	0	0	0	0	0
Ortalis squamata	0	1	1	0	0	1	0
Orthogonys chloricterus	0	0	0	0	0	0	0
Oxyruncus cristatus	0	1	0	0	0	1	0
Oxyura vittata	0	0	0	0	0	0	0
Pachyramphus castaneus	0	1	0	1	1	1	1
Pachyramphus polychopterus	1	1	1	1	1	1	1
Pachyramphus validus	1	1	1	1	1	1	1
Pachyramphus viridis	1	1	1	1	1	1	1
Pandion haliaetus	0	0	0	0	0	0	0
Panyptila cayennensis	0	0	0	0	0	0	0
Parabuteo leucorrhous	1	1	1	1	1	1	1
Parabuteo unicinctus	0	1	0	0	0	1	0
Paraclaravis geoffroyi	0	0	0	0	0	0	0
Pardirallus maculatus	1	1	1	1	1	1	1
Pardirallus nigricans	1	1	1	1	1	1	1
Pardirallus sanguinolentus	1	1	1	1	1	1	1
Paroaria capitata	0	0	0	0	0	0	0
Paroaria coronata	0	0	1	0	0	0	0
Patagioenas cayennensis	1	1	1	1	1	1	1
Patagioenas maculosa	1	1	0	1	1	1	1
Patagioenas picazuro	1	1	1	1	1	1	1
Patagioenas plumbea	0	1	1	0	1	1	1
Patagioenas speciosa	0	1	0	1	0	1	1
Penelope obscura	1	1	1	1	1	1	1
Penelope superciliaris	0	1	1	1	1	1	1
Petrochelidon pyrrhonota	1	1	1	1	1	1	1
Phacellodomus ferrugineigula	1	0	1	0	1	1	1
Phacellodomus striaticollis	0	0	1	0	0	0	0
Phaeomyias murina	0	0	0	0	0	0	0
Phaethornis eurynome	0	1	1	1	1	1	1
Phaethornis pretrei	0	0	0	0	0	0	0
Phaethornis ruber	0	0	0	0	0	0	0
Phaethornis squalidus	0	0	0	0	0	0	0
Phaetusa simplex	1	1	1	1	1	1	1
Phalcoboenus chimango	1	1	1	1	1	1	1
Phibalura flavirostris	1	1	1	1	1	1	1
Philydor atricapillus	0	1	1	1	0	1	1
Philydor rufum	1	1	0	1	1	1	1
Phimosus infuscatus	1	1	1	1	1	1	1
Phleocryptes melanops	0	0	1	0	0	0	0
Phoenicopterus chilensis	0	0	0	0	0	0	0
Phyllomyias burmeisteri	1	1	1	1	1	1	1
Phyllomyias fasciatus	1	1	1	1	1	1	1
Phyllomyias griseocapilla	0	0	0	0	0	0	0
Phyllomyias virescens	1	1	1	1	1	1	1
Phylloscartes difficilis	0	0	1	0	0	0	0
Phylloscartes oustaleti	0	0	0	0	0	0	0
Phylloscartes paulista	0	1	0	1	0	1	1
Phylloscartes sylviolus	0	1	0	1	0	1	1
Phylloscartes ventralis	1	1	1	1	1	1	1
Piaya cayana	1	1	1	1	1	1	1
Piculus aurulentus	1	1	0	1	1	1	1
Piculus flavigula	0	0	0	0	0	0	0
Picumnus albosquamatus	0	0	0	0	0	0	0
Picumnus cirratus	0	0	0	0	0	0	0
Picumnus nebulosus	1	1	1	0	1	1	1
Picumnus temminckii	1	1	1	1	1	1	1
Pionopsitta pileata	1	1	1	1	1	1	1
Pionus maximiliani	1	1	1	1	1	1	1
Pipile jacutinga	0	0	0	1	0	0	0
Pipra fasciicauda	0	0	0	1	0	0	0
Pipraeidea bonariensis	1	1	1	1	1	1	1
Pipraeidea melanonota	1	1	1	1	1	1	1
Piprites chloris	0	1	0	1	0	1	1
Piprites pileata	0	1	0	0	0	1	0
Piranga flava	1	1	1	1	1	1	1
Pitangus sulphuratus	1	1	1	1	1	1	1
Platalea ajaja	1	1	1	1	1	1	1
Platyrinchus leucoryphus	0	1	0	1	0	1	1
Platyrinchus mystaceus	1	1	0	1	1	1	1
Plegadis chihi	1	1	1	1	1	1	1
Pluvialis dominica	0	0	1	0	0	0	0
Pluvialis squatarola	0	0	1	0	0	0	0
Podiceps major	0	0	1	0	0	0	0
Podilymbus podiceps	1	1	1	1	1	1	1
Poecilotriccus plumbeiceps	1	1	1	1	1	1	1
Pogonotriccus eximius	0	1	0	1	1	1	1
Polioptila dumicola	0	0	0	0	0	0	0
Polioptila lactea	0	1	0	1	0	0	1
Polystictus pectoralis	1	0	1	1	1	0	0
Poospiza nigrorufa	1	0	1	1	1	0	1
Porphyrio flavirostris	0	0	0	1	0	0	0
Porphyrio martinicus	1	1	1	1	1	1	1
Porphyriops melanops	1	1	1	0	1	1	1
Porzana albicollis	1	1	1	1	1	1	1
Primolius maracana	0	1	0	0	0	0	0
Procnias nudicollis	1	1	1	1	1	1	1
Progne chalybea	1	1	1	1	1	1	1
Progne subis	1	1	1	1	1	1	1
Progne tapera	1	1	1	1	1	1	1
Psarocolius decumanus	0	1	0	1	0	0	0
Pseudastur polionotus	0	1	1	0	1	1	1
Pseudocolopteryx flaviventris	0	0	1	0	0	0	0
Pseudoleistes guirahuro	1	1	1	1	1	1	1
Pseudoleistes virescens	0	0	1	0	0	0	0
Psilorhamphus guttatus	0	1	1	1	0	1	1
Psittacara leucophthalmus	1	1	1	1	1	1	1
Pteroglossus aracari	0	0	0	0	0	0	0
Pteroglossus bailloni	0	1	0	1	0	1	1
Pteroglossus castanotis	0	0	0	1	0	0	0
Pulsatrix koeniswaldiana	0	1	0	1	0	1	1
Pulsatrix perspicillata	1	1	1	1	1	1	1
Pygochelidon cyanoleuca	1	1	1	1	1	1	1
Pygochelidon melanoleuca	0	0	0	1	0	0	0
Pyriglena leucoptera	0	1	1	1	1	1	1
Pyrocephalus rubinus	1	1	1	1	1	1	1
Pyroderus scutatus	1	1	1	1	1	1	1
Pyrrhura frontalis	1	1	1	1	1	1	1
Rallus longirostris	0	0	0	0	0	0	0
Ramphastos ariel	0	0	0	0	0	0	0
Ramphastos dicolorus	1	1	1	1	1	1	1
Ramphastos toco	1	1	1	1	1	1	1
Ramphocaenus melanurus	0	0	0	0	0	0	0
Ramphocelus bresilius	0	0	0	0	0	0	0
Ramphocelus carbo	0	0	0	0	0	0	0
Ramphodon naevius	0	1	0	0	0	1	0
Ramphotrigon megacephalum	0	1	0	1	0	1	1
Rhea americana	1	1	1	1	1	1	1
Rhopias gularis	0	1	0	0	0	1	0
Rhynchotus rufescens	1	1	1	1	1	1	1
Riparia riparia	1	1	0	1	1	1	1
Rollandia rolland	0	0	1	1	0	0	0
Rostrhamus sociabilis	1	1	1	1	1	1	1
Rupornis magnirostris	1	1	1	1	1	1	1
Rynchops niger	1	1	1	1	1	1	1
Saltator coerulescens	0	0	0	1	0	0	0
Saltator fuliginosus	1	1	1	1	1	1	1
Saltator maxillosus	1	1	1	1	1	1	1
Saltator similis	1	1	1	1	1	1	1
Sarcoramphus papa	1	1	1	1	1	1	1
Sarkidiornis sylvicola	1	1	1	1	1	1	1
Satrapa icterophrys	1	1	1	1	1	1	1
Schiffornis virescens	1	1	1	1	1	1	1
Schistochlamys ruficapillus	0	0	0	0	0	0	0
Schoeniophylax phryganophilus	0	0	1	0	0	0	0
Sclerurus scansor	1	1	1	1	1	1	1
Scytalopus iraiensis	0	0	0	0	1	0	0
Scytalopus pachecoi	0	0	0	1	0	0	0
Scytalopus speluncae	1	0	1	0	1	1	1
Selenidera maculirostris	0	1	1	1	1	1	1
Serpophaga griseicapilla	0	0	1	1	0	0	0
Serpophaga nigricans	1	1	1	1	1	1	1
Serpophaga subcristata	1	1	1	1	1	1	1
Setopagis parvula	1	1	0	1	0	1	1
Setophaga pitiayumi	1	1	1	1	1	1	1
Sicalis citrina	0	0	0	0	0	0	0
Sicalis flaveola	1	1	1	1	1	1	1
Sicalis luteola	1	1	1	1	1	1	1
